Customer_ID,Customer_Name,Age,Gender,City,Customer_Segment,Registration_Date,Total_Orders,Total_Spending,Last_Purchase_Date,Total_Profit,Days_Since_Last_Purchase,Churn_Status
C1064,Sneha_65,33,Male,Mumbai,Regular,2023-03-27,6,63439.5,2026-05-06,10733.5,55,No
C1065,Meera_66,47,Female,Noida,Regular,2024-03-28,11,81224.0,2026-05-16,20942.0,45,No
C1066,Kavya_67,56,Male,Noida,Regular,2023-09-11,14,127513.0,2026-04-26,29341.0,65,No
C1067,Yash_68,22,Female,Prayagraj,Regular,2023-06-29,12,73841.0,2026-01-24,15595.0,157,Yes
C1068,Meera_69,49,Female,Mumbai,Premium,2023-11-21,10,63402.5,2026-01-24,18341.5,157,Yes
C1069,Simran_70,33,Female,Agra,Occasional,2024-05-11,14,71891.5,2026-05-08,15798.5,53,No
C1070,Yash_71,29,Male,Agra,Regular,2024-01-15,10,84210.0,2026-05-27,15729.0,34,No
C1071,Rahul_72,29,Male,Noida,Premium,2024-02-21,8,46065.5,2026-06-22,9687.5,8,No
C1072,Kavya_73,52,Male,Kanpur,Regular,2023-03-31,13,147525.0,2026-03-29,39127.0,93,No
C1073,Pooja_74,51,Male,Mumbai,Premium,2023-07-15,16,87251.5,2026-06-01,20010.5,29,No
C1074,Riya_75,53,Male,Agra,Regular,2025-01-30,6,47293.5,2025-11-27,10879.5,215,Yes
C1075,Arjun_76,41,Female,Gurugram,Premium,2024-11-19,10,53442.5,2026-03-27,11205.5,95,No
C1076,Riya_77,56,Female,Kanpur,Occasional,2024-10-24,11,56682.5,2026-05-29,14043.5,32,No
C1077,Simran_78,30,Female,Lucknow,Occasional,2025-03-08,9,66713.0,2025-10-12,13526.0,261,Yes
C1078,Rohan_79,39,Male,Gurugram,Regular,2023-01-19,6,31360.5,2026-06-29,6964.5,1,No
C1079,Simran_80,36,Male,Gurugram,Occasional,2024-03-30,8,32103.5,2026-06-18,6411.5,12,No
C1080,Simran_81,33,Male,Delhi,Premium,2023-04-09,11,44540.0,2026-05-15,10145.0,46,No
C1081,Aditi_82,53,Female,Noida,Occasional,2023-05-24,8,65557.0,2026-05-28,12484.0,33,No
C1082,Riya_83,59,Female,Noida,Regular,2024-02-02,8,31954.0,2026-06-17,6715.0,13,No
C1083,Rohan_84,40,Female,Delhi,Regular,2025-04-22,15,82652.0,2026-05-21,20452.0,40,No
C1084,Sneha_85,27,Female,Gurugram,Occasional,2023-09-10,11,77051.0,2026-06-26,16603.0,4,No
C1085,Riya_86,59,Male,Agra,Premium,2025-03-05,6,55485.0,2026-03-06,17712.0,116,No
C1086,Simran_87,55,Female,Noida,Occasional,2024-05-10,14,88239.0,2026-05-07,16668.0,54,No
C1087,Yash_88,24,Female,Lucknow,Regular,2023-05-12,6,17862.5,2026-04-20,4328.5,71,No
C1088,Aditya_89,56,Male,Prayagraj,Regular,2024-06-14,13,76111.5,2026-01-04,18329.5,177,Yes
C1089,Neha_90,45,Female,Kanpur,Regular,2024-10-21,10,45429.0,2026-01-14,11807.0,167,Yes
C1090,Nisha_91,18,Female,Varanasi,Occasional,2023-12-14,4,15218.5,2026-05-14,3018.5,47,No
C1091,Aditi_92,50,Male,Gurugram,Occasional,2023-05-14,10,79591.5,2026-01-20,22272.5,161,Yes
C1092,Arjun_93,33,Female,Noida,Occasional,2023-07-22,10,64159.0,2026-05-16,13286.0,45,No
C1093,Nisha_94,36,Female,Delhi,Regular,2024-02-06,11,51850.0,2026-05-04,8329.0,57,No
C1094,Meera_95,20,Female,Lucknow,Occasional,2023-01-12,7,39639.0,2026-02-23,8537.0,127,Yes
C1095,Arjun_96,55,Male,Agra,Regular,2024-10-29,6,54994.5,2025-09-20,16571.5,283,Yes
C1096,Riya_97,25,Male,Mumbai,Regular,2023-06-27,9,70989.5,2026-03-18,17396.5,104,No
C1097,Neha_98,53,Female,Gurugram,Regular,2024-05-16,14,83012.0,2026-05-30,21146.0,31,No
C1098,Sneha_99,37,Female,Lucknow,Regular,2025-01-21,12,86850.0,2026-03-08,20529.0,114,No
C1099,Vivaan_100,23,Female,Delhi,Premium,2023-09-13,14,105336.0,2026-06-09,24887.0,21,No
C1100,Aarav_101,47,Female,Mumbai,Regular,2023-01-05,10,49127.0,2026-06-17,11211.0,13,No
C1101,Nisha_102,18,Male,Prayagraj,Regular,2023-08-27,8,36737.5,2025-09-17,6517.5,286,Yes
C1102,Meera_103,51,Male,Lucknow,Regular,2024-05-25,16,102717.0,2026-05-17,21764.0,44,No
C1103,Ananya_104,23,Female,Varanasi,Occasional,2024-12-09,4,24557.0,2026-02-20,5668.0,130,Yes
C1104,Yash_105,40,Female,Delhi,Occasional,2024-11-07,11,82916.0,2026-05-14,21767.0,47,No
C1105,Aditi_106,38,Male,Lucknow,Occasional,2023-01-01,15,67225.5,2026-01-24,11148.5,157,Yes
C1106,Priya_107,18,Female,Jaipur,Regular,2025-03-10,9,37900.5,2025-09-16,8059.5,287,Yes
C1107,Pooja_108,43,Male,Varanasi,Occasional,2024-03-13,13,75079.0,2026-03-03,16449.0,119,No
C1108,Meera_109,22,Male,Lucknow,Regular,2025-02-01,8,61390.5,2026-03-10,13895.5,112,No
C1109,Ishita_110,32,Female,Varanasi,Occasional,2024-07-31,10,50665.5,2026-02-21,13846.5,129,Yes
C1110,Karan_111,51,Male,Prayagraj,Premium,2023-04-08,7,34317.5,2026-01-09,4829.5,172,Yes
C1111,Karan_112,51,Male,Delhi,Regular,2023-06-15,14,114635.5,2026-06-15,27674.5,15,No
C1112,Kavya_113,59,Female,Varanasi,Occasional,2023-05-13,8,103649.0,2026-02-11,27525.0,139,Yes
C1113,Riya_114,34,Male,Agra,Regular,2024-05-22,13,92708.0,2026-05-20,18743.0,41,No
C1114,Rahul_115,23,Male,Kanpur,Regular,2023-07-24,9,60937.0,2026-05-29,17867.0,32,No
C1115,Meera_116,40,Male,Delhi,Regular,2023-04-05,17,74564.5,2026-04-05,17118.5,86,No
C1116,Aditya_117,21,Male,Agra,Regular,2024-11-26,6,42965.0,2025-05-12,8377.0,414,Yes
C1117,Ananya_118,36,Female,Kanpur,Regular,2024-04-10,11,98417.5,2026-05-31,28119.5,30,No
C1118,Nisha_119,22,Male,Lucknow,Occasional,2023-12-12,12,61834.0,2026-05-04,15903.0,57,No
C1119,Karan_120,44,Male,Mumbai,Regular,2023-09-06,6,22592.0,2026-06-19,2941.0,11,No
C1120,Arjun_121,47,Male,Agra,Regular,2023-02-17,10,84891.0,2026-05-30,20973.0,31,No
C1121,Karan_122,25,Female,Lucknow,Occasional,2023-09-10,10,80848.0,2026-04-10,15142.0,81,No
C1122,Vivaan_123,39,Male,Agra,Regular,2023-01-28,4,23616.0,2025-10-22,7334.0,251,Yes
C1123,Sneha_124,31,Male,Mumbai,Premium,2023-01-07,11,67650.0,2026-05-21,19050.0,40,No
C1124,Riya_125,55,Female,Kanpur,Regular,2023-01-15,10,56064.0,2025-10-06,13331.0,267,Yes
C1125,Rohan_126,56,Male,Mumbai,Regular,2023-08-19,7,31142.0,2026-06-04,7993.0,26,No
C1126,Aditya_127,34,Male,Gurugram,Premium,2023-01-25,10,37854.0,2026-05-10,8115.0,51,No
C1127,Karan_128,35,Male,Gurugram,Premium,2023-04-21,22,195819.5,2026-06-29,55525.5,1,No
C1128,Riya_129,57,Male,Agra,Regular,2024-08-17,6,31022.0,2026-06-23,6968.0,7,No
C1129,Aditi_130,43,Female,Prayagraj,Regular,2024-03-18,9,40786.0,2025-11-09,10168.0,233,Yes
C1130,Ananya_131,54,Female,Prayagraj,Regular,2024-03-12,9,59729.5,2026-06-19,14554.5,11,No
C1131,Neha_132,21,Female,Prayagraj,Regular,2024-03-21,9,30509.0,2026-06-28,6906.0,2,No
C1132,Ananya_133,20,Female,Varanasi,Premium,2023-02-09,8,75374.5,2026-03-22,16116.5,100,No
C1133,Nisha_134,37,Female,Kanpur,Regular,2023-01-04,16,153815.0,2026-06-03,30950.0,27,No
C1134,Rahul_135,55,Female,Agra,Premium,2024-03-16,11,71536.5,2026-04-03,15390.5,88,No
C1135,Arjun_136,43,Male,Agra,Regular,2023-10-27,12,66208.0,2026-06-12,17756.0,18,No
C1136,Aarav_137,37,Male,Delhi,Regular,2023-04-23,9,37961.0,2026-03-04,8219.0,118,No
C1137,Arjun_138,31,Male,Mumbai,Regular,2025-03-15,10,52285.0,2026-06-23,10287.0,7,No
C1138,Kavya_139,50,Male,Delhi,Regular,2023-01-10,6,12192.0,2026-02-23,2832.0,127,Yes
C1139,Riya_140,30,Female,Kanpur,Regular,2024-08-18,13,73545.0,2026-06-23,16634.0,7,No
C1140,Nisha_141,34,Male,Gurugram,Regular,2024-07-03,15,72768.0,2026-04-28,19137.0,63,No
C1141,Rohan_142,31,Female,Noida,Occasional,2024-04-03,7,41192.0,2026-06-09,9841.0,21,No
C1142,Priya_143,52,Female,Delhi,Premium,2023-11-16,2,11233.0,2026-04-13,1649.0,78,No
C1143,Riya_144,54,Male,Gurugram,Occasional,2025-03-08,11,84945.0,2025-12-21,20531.0,191,Yes
C1144,Aditi_145,36,Female,Noida,Occasional,2024-02-14,12,58768.0,2026-05-16,15014.0,45,No
C1145,Sneha_146,42,Female,Mumbai,Regular,2025-04-19,16,147127.0,2026-05-14,33619.0,47,No
C1146,Nisha_147,55,Female,Delhi,Regular,2024-07-28,13,91226.0,2026-06-26,21483.0,4,No
C1147,Ishita_148,19,Female,Lucknow,Regular,2024-09-07,12,152468.5,2026-05-08,38509.5,53,No
C1148,Kavya_149,23,Female,Delhi,Premium,2024-01-26,8,50118.0,2026-03-01,10093.0,121,Yes
C1149,Ishita_150,32,Female,Jaipur,Regular,2023-10-16,13,58876.0,2026-05-11,14635.0,50,No
C1150,Aarav_151,46,Male,Jaipur,Premium,2023-04-07,9,26985.5,2026-05-24,6887.5,37,No
C1151,Aarav_152,39,Female,Jaipur,Occasional,2024-05-31,7,39909.0,2025-11-23,10469.0,219,Yes
C1152,Simran_153,55,Female,Prayagraj,Occasional,2025-03-25,11,65884.5,2026-06-14,15479.5,16,No
C1153,Arjun_154,32,Female,Agra,Regular,2023-09-18,6,50111.0,2026-05-03,14052.0,58,No
C1154,Rahul_155,44,Female,Kanpur,Premium,2025-01-24,13,121631.5,2026-05-17,30785.5,44,No
C1155,Ananya_156,37,Male,Noida,Regular,2025-04-21,6,22641.0,2026-01-05,5692.0,176,Yes
C1156,Aditi_157,40,Male,Agra,Premium,2023-10-29,8,57814.0,2026-02-05,13761.0,145,Yes
C1157,Rahul_158,35,Female,Agra,Premium,2024-09-14,9,40421.0,2026-03-19,11759.0,103,No
C1158,Kavya_159,21,Female,Jaipur,Premium,2025-03-15,10,39284.5,2026-05-03,7586.5,58,No
C1159,Priya_160,45,Male,Lucknow,Premium,2023-02-20,12,64933.5,2026-06-14,12746.5,16,No
C1160,Sneha_161,39,Female,Gurugram,Regular,2025-02-07,13,83446.5,2026-05-27,18854.5,34,No
C1161,Yash_162,40,Female,Jaipur,Regular,2025-04-10,12,69092.0,2026-06-26,19115.0,4,No
C1162,Simran_163,32,Male,Agra,Regular,2023-11-05,6,37452.5,2025-09-06,10237.5,297,Yes
C1163,Rahul_164,43,Male,Gurugram,Regular,2024-07-28,6,69290.5,2026-06-07,16787.5,23,No
C1164,Nisha_165,19,Male,Prayagraj,Premium,2024-04-19,10,42323.5,2026-02-02,7896.5,148,Yes
C1165,Aarav_166,41,Female,Delhi,Regular,2023-06-29,9,26227.0,2026-06-11,6494.0,19,No
C1166,Pooja_167,46,Female,Lucknow,Regular,2024-10-23,8,55391.0,2026-04-21,12985.0,70,No
C1167,Priya_168,24,Female,Noida,Regular,2023-12-27,10,36655.5,2026-05-30,7584.5,31,No
C1168,Yash_169,24,Female,Lucknow,Regular,2023-05-21,10,68603.5,2026-05-12,17002.5,49,No
C1169,Aditi_170,36,Male,Agra,Regular,2024-10-31,9,75194.5,2026-04-26,17199.5,65,No
C1170,Pooja_171,36,Male,Agra,Premium,2024-08-12,13,114335.5,2026-03-07,31205.5,115,No
C1171,Arjun_172,45,Male,Kanpur,Premium,2023-08-10,7,48465.0,2026-04-12,6647.0,79,No
C1172,Kavya_173,25,Female,Lucknow,Regular,2024-10-04,12,85573.0,2026-04-07,21261.0,84,No
C1173,Pooja_174,51,Male,Delhi,Occasional,2023-03-28,14,48280.0,2025-12-15,8356.0,197,Yes
C1174,Priya_175,46,Male,Varanasi,Regular,2023-11-09,9,59861.0,2026-04-23,15659.0,68,No
C1175,Priya_176,54,Male,Prayagraj,Premium,2024-08-31,9,44700.5,2026-01-07,12474.5,174,Yes
C1176,Sneha_177,52,Male,Kanpur,Premium,2023-03-19,7,37569.0,2026-05-22,7033.0,39,No
C1177,Pooja_178,54,Male,Jaipur,Regular,2025-01-04,8,59515.0,2026-01-12,16313.0,169,Yes
C1178,Meera_179,27,Male,Varanasi,Occasional,2023-05-31,10,52741.5,2026-06-04,12833.5,26,No
C1179,Karan_180,53,Female,Delhi,Occasional,2023-03-23,9,64663.0,2026-05-28,14881.0,33,No
C1180,Rohan_181,37,Male,Noida,Regular,2024-01-21,10,73415.0,2026-06-21,16216.0,9,No
C1181,Vivaan_182,22,Male,Jaipur,Premium,2023-09-13,10,71999.5,2026-03-08,16382.5,114,No
C1182,Kavya_183,52,Female,Noida,Regular,2023-12-30,7,57263.5,2025-09-28,14681.5,275,Yes
C1183,Nisha_184,40,Female,Agra,Regular,2024-12-21,9,63884.5,2026-04-12,15532.5,79,No
C1184,Rahul_185,57,Female,Gurugram,Regular,2023-10-08,7,23080.5,2026-03-02,5487.5,120,No
C1185,Riya_186,43,Female,Jaipur,Premium,2023-04-19,9,47212.5,2026-04-11,11386.5,80,No
C1186,Ananya_187,35,Female,Prayagraj,Premium,2023-02-11,20,141670.0,2026-05-11,33492.0,50,No
C1187,Kavya_188,34,Male,Kanpur,Premium,2024-01-13,7,46749.5,2026-06-18,8367.5,12,No
C1188,Priya_189,38,Male,Prayagraj,Occasional,2023-10-14,14,72181.5,2026-06-23,18954.5,7,No
C1189,Aditi_190,29,Female,Kanpur,Regular,2025-03-31,6,14891.5,2026-06-30,3161.5,0,No
C1190,Vivaan_191,43,Male,Lucknow,Regular,2024-12-02,10,79414.0,2025-12-30,17825.0,182,Yes
C1191,Rahul_192,60,Male,Prayagraj,Premium,2024-11-23,11,45718.5,2026-03-23,10024.5,99,No
C1192,Priya_193,28,Male,Agra,Premium,2023-04-23,7,35194.5,2026-05-14,7704.5,47,No
C1193,Riya_194,51,Male,Delhi,Occasional,2024-10-25,9,58880.0,2025-12-19,11415.0,193,Yes
C1194,Aditya_195,50,Male,Agra,Regular,2025-01-20,5,12742.0,2026-05-18,3050.0,43,No
C1195,Vivaan_196,60,Female,Jaipur,Premium,2024-05-21,11,85961.0,2026-03-24,20680.0,98,No
C1196,Nisha_197,43,Male,Gurugram,Regular,2023-03-14,10,54433.0,2025-12-27,12856.0,185,Yes
C1197,Ishita_198,42,Female,Lucknow,Regular,2024-09-07,4,23183.0,2025-10-27,5769.0,246,Yes
C1198,Ananya_199,20,Male,Delhi,Premium,2023-04-18,11,56411.0,2026-06-15,15904.0,15,No
C1199,Nisha_200,29,Male,Kanpur,Occasional,2023-02-13,5,42706.0,2026-05-24,10474.0,37,No
C1200,Meera_201,27,Female,Lucknow,Regular,2024-05-11,13,114227.0,2026-05-21,26509.0,40,No
C1201,Riya_202,36,Female,Agra,Occasional,2024-10-22,9,35724.0,2025-09-24,7645.0,279,Yes
C1202,Rohan_203,33,Female,Prayagraj,Occasional,2024-06-20,11,92343.5,2026-05-31,23678.5,30,No
C1203,Meera_204,58,Female,Mumbai,Regular,2023-02-16,11,83610.0,2026-06-29,21216.0,1,No
C1204,Sneha_205,34,Male,Varanasi,Occasional,2023-03-27,5,35731.0,2026-05-20,8572.0,41,No
C1205,Pooja_206,24,Male,Noida,Regular,2024-11-18,11,52828.5,2026-04-20,14201.5,71,No
C1206,Nisha_207,56,Male,Jaipur,Occasional,2024-03-18,11,68175.0,2026-06-02,15835.0,28,No
C1207,Riya_208,52,Female,Agra,Regular,2025-03-23,13,60678.0,2026-04-11,12545.0,80,No
C1208,Nisha_209,43,Female,Agra,Premium,2023-12-30,5,35824.0,2026-03-22,7445.0,100,No
C1209,Meera_210,46,Female,Jaipur,Premium,2024-02-01,14,88219.0,2026-05-31,19558.0,30,No
C1210,Aditi_211,19,Male,Mumbai,Occasional,2023-06-19,8,66973.0,2026-03-10,15324.0,112,No
C1211,Nisha_212,49,Female,Kanpur,Regular,2023-02-08,12,69638.5,2026-03-30,12044.5,92,No
C1212,Ishita_213,33,Female,Noida,Regular,2023-08-27,8,42311.0,2026-05-08,10585.0,53,No
C1213,Sneha_214,22,Female,Jaipur,Regular,2024-11-19,9,83653.0,2026-04-11,19304.0,80,No
C1214,Meera_215,47,Female,Agra,Regular,2023-05-26,13,88179.0,2026-06-08,21436.0,22,No
C1215,Arjun_216,32,Male,Lucknow,Regular,2025-03-27,16,70726.5,2026-01-19,15004.5,162,Yes
C1216,Sneha_217,54,Female,Mumbai,Regular,2024-01-15,11,61834.5,2026-05-10,15932.5,51,No
C1217,Simran_218,28,Female,Agra,Regular,2023-08-14,16,135405.0,2026-06-16,31697.0,14,No
C1218,Yash_219,25,Female,Jaipur,Regular,2024-07-28,10,78433.5,2026-06-23,20247.5,7,No
C1219,Aditya_220,60,Male,Mumbai,Regular,2023-08-06,6,46425.0,2026-05-09,9415.0,52,No
C1220,Nisha_221,23,Female,Agra,Occasional,2023-02-23,17,121012.5,2026-05-11,24576.5,50,No
C1221,Kavya_222,52,Female,Gurugram,Regular,2025-01-22,8,35690.5,2026-04-04,9703.5,87,No
C1222,Aditya_223,35,Female,Delhi,Occasional,2023-08-04,13,49446.5,2026-03-03,11483.5,119,No
C1223,Sneha_224,30,Male,Prayagraj,Premium,2023-03-30,10,73099.0,2026-04-06,15106.0,85,No
C1224,Neha_225,51,Male,Noida,Regular,2023-11-19,12,78388.0,2026-02-02,15508.0,148,Yes
C1225,Priya_226,42,Female,Delhi,Occasional,2023-06-19,6,64579.0,2026-03-18,15329.0,104,No
C1226,Karan_227,22,Female,Gurugram,Regular,2023-08-14,4,22093.0,2026-02-14,5959.0,136,Yes
C1227,Ananya_228,25,Female,Prayagraj,Regular,2023-06-25,9,45480.0,2026-05-26,10859.0,35,No
C1228,Aditi_229,30,Female,Noida,Regular,2024-08-15,5,54836.0,2026-02-15,12582.0,135,Yes
C1229,Aditi_230,20,Male,Delhi,Premium,2023-02-09,12,56661.5,2026-05-31,13575.5,30,No
C1230,Aarav_231,23,Female,Lucknow,Premium,2023-12-02,11,97611.5,2025-12-08,24652.5,204,Yes
C1231,Arjun_232,30,Female,Gurugram,Occasional,2023-12-11,16,79198.0,2026-06-07,19190.0,23,No
C1232,Yash_233,24,Female,Prayagraj,Occasional,2024-07-10,9,78623.5,2025-12-12,21201.5,200,Yes
C1233,Ishita_234,59,Male,Varanasi,Regular,2023-12-29,9,50158.0,2025-07-22,9567.0,343,Yes
C1234,Ishita_235,53,Female,Kanpur,Regular,2024-08-11,4,19981.0,2026-05-30,6236.0,31,No
C1235,Nisha_236,49,Male,Kanpur,Occasional,2024-10-28,8,46005.5,2026-03-12,9559.5,110,No
C1236,Aditya_237,48,Male,Agra,Regular,2024-03-23,7,31884.0,2026-06-26,6652.0,4,No
C1237,Vivaan_238,36,Female,Prayagraj,Regular,2024-08-08,13,53359.0,2026-06-30,12837.0,0,No
C1238,Nisha_239,46,Female,Noida,Regular,2024-04-28,13,107855.5,2026-03-13,21801.5,109,No
C1239,Pooja_240,34,Female,Prayagraj,Regular,2024-12-05,9,42892.5,2026-01-23,7663.5,158,Yes
C1240,Aditya_241,31,Female,Kanpur,Regular,2023-10-12,6,57489.0,2026-06-25,17053.0,5,No
C1241,Karan_242,29,Male,Jaipur,Regular,2023-02-02,10,72477.0,2026-06-18,14941.0,12,No
C1242,Vivaan_243,28,Female,Delhi,Regular,2024-06-21,7,39501.0,2025-11-16,9858.0,226,Yes
C1243,Rahul_244,34,Male,Jaipur,Regular,2024-05-03,8,41926.0,2026-06-10,6517.0,20,No
C1244,Aditya_245,49,Male,Jaipur,Premium,2023-03-25,14,74485.5,2026-06-21,12259.5,9,No
C1245,Simran_246,45,Female,Lucknow,Regular,2023-10-30,14,111468.0,2026-06-12,26563.0,18,No
C1246,Ananya_247,36,Male,Prayagraj,Regular,2024-01-22,9,75637.0,2026-03-15,18049.0,107,No
